"CUIinp" "Map_type" "CUIout" "ICDgn" "ICD" "GBD" "Pbs"
"C1711391.C0027651.16" "C1711391" "G/P" "C0027651" "C00-D48.9" "C15" 49 NA
"C1711391.C0027651.17" "C1711391" "G/P" "C0027651" "C00-D48.9" "C16" 50 NA
"C1711391.C0027651.18" "C1711391" "G/P" "C0027651" "C00-D48.9" "C17" NA "A0"
"C1711391.C0027651.19" "C1711391" "G/P" "C0027651" "C00-D48.9" "C18" 58 NA
"C1711391.C0027651.20" "C1711391" "G/P" "C0027651" "C00-D48.9" "C19" 58 NA
"C1711391.C0027651.21" "C1711391" "G/P" "C0027651" "C00-D48.9" "C20" 58 NA
"C1711391.C0027651.22" "C1711391" "G/P" "C0027651" "C00-D48.9" "C21" 58 NA
"C1711391.C0027651.23" "C1711391" "G/P" "C0027651" "C00-D48.9" "C22" 51 NA
"C1711391.C0027651.24" "C1711391" "G/P" "C0027651" "C00-D48.9" "C23" 62 NA
"C1711391.C0027651.25" "C1711391" "G/P" "C0027651" "C00-D48.9" "C24" 62 NA
"C1711391.C0027651.26" "C1711391" "G/P" "C0027651" "C00-D48.9" "C25" 63 NA
"C1711391.C0027651.27" "C1711391" "G/P" "C0027651" "C00-D48.9" "C26" NA "A0"
"C1711391.C0027651.28" "C1711391" "G/P" "C0027651" "C00-D48.9" "C27" NA "A0"
"C1711391.C0027651.29" "C1711391" "G/P" "C0027651" "C00-D48.9" "C28" NA "A0"
"C1711391.C0027651.30" "C1711391" "G/P" "C0027651" "C00-D48.9" "C29" NA "A0"
"C1711391.C0027651.31" "C1711391" "G/P" "C0027651" "C00-D48.9" "C30" NA "A0"
"C1711391.C0027651.32" "C1711391" "G/P" "C0027651" "C00-D48.9" "C31" NA "A0"
"C1711391.C0027651.33" "C1711391" "G/P" "C0027651" "C00-D48.9" "C32" 52 NA
"C1711391.C0027651.34" "C1711391" "G/P" "C0027651" "C00-D48.9" "C33" 53 NA
"C1711391.C0027651.35" "C1711391" "G/P" "C0027651" "C00-D48.9" "C34" 53 NA
"C1711391.C0027651.36" "C1711391" "G/P" "C0027651" "C00-D48.9" "C35" NA "A0"
"C1711391.C0027651.37" "C1711391" "G/P" "C0027651" "C00-D48.9" "C36" NA "A0"
"C1711391.C0027651.38" "C1711391" "G/P" "C0027651" "C00-D48.9" "C37" NA "A0"
"C1711391.C0027651.39" "C1711391" "G/P" "C0027651" "C00-D48.9" "C38" NA "A0"
"C1711391.C0027651.40" "C1711391" "G/P" "C0027651" "C00-D48.9" "C39" NA "A0"
"C1711391.C0027651.41" "C1711391" "G/P" "C0027651" "C00-D48.9" "C40" NA "A0"
"C1711391.C0027651.42" "C1711391" "G/P" "C0027651" "C00-D48.9" "C41" NA "A0"
"C1711391.C0027651.43" "C1711391" "G/P" "C0027651" "C00-D48.9" "C42" NA "A0"
"C1711391.C0027651.44" "C1711391" "G/P" "C0027651" "C00-D48.9" "C43" 64 NA
"C1711391.C0027651.45" "C1711391" "G/P" "C0027651" "C00-D48.9" "C44" 65 NA
